,RoundCode,SessionCode,maxRed,maxBlue,maxGreen,maxOrange,maxPurple,maxYellow,maxMagenta,maxBlack,maxCyan,maxPink,maxSilver,maxTeal,maxBeige,maxOlive,maxBrown,totalClicks,Time1move,Time2move,Time3move,Time4move,Time5move,Time6move
134,8,bn8iy0dx,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,7,17.682,8.691,11.55,3.192,6.23,2.438
135,9,bn8iy0dx,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,7,17.498,13.783,8.937,3.139,6.702,2.791
136,10,bn8iy0dx,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,14.667,5.192,4.348,2.2,10.076,2.628
137,11,bn8iy0dx,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,11,15.497,4.604,4.411,2.422,7.315,2.384
138,12,bn8iy0dx,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,7,11.49,6.792,7.726,2.613,6.708,2.582
139,13,bn8iy0dx,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26.661,5.628,7.902,4.161,10.186,7.802
140,14,bn8iy0dx,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,13.11,5.276,7.165,4.442,6.98,3.07
141,15,bn8iy0dx,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,7,14.882,5.676,8.451,5.112,9.401,2.399
142,16,bn8iy0dx,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,7,13.149,8.854,10.374,4.612,14.737,3.101
143,17,bn8iy0dx,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11.823,6.816,7.606,2.519,7.17,3.323
144,2,q32n8r51,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3.393,9.005,7.804,5.946,4.696,9.569
145,3,q32n8r51,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,2.422,11.72,5.913,9.657,4.91,11.32
146,4,q32n8r51,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,9,3.447,7.401,6.515,10.151,3.763,3.409
147,5,q32n8r51,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.247,17.185,19.136,4.01,4.631,6.099
148,6,q32n8r51,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,7,5.01,12.676,20.033,2.094,5.474,14.439
